t_ms,power_w,temp_c,clock_mhz,label
76522,23.77,51,1455,decoy2
76618,22.89,53,1455,decoy2
76767,33.04,53,1455,decoy2
76838,33.04,53,1455,decoy2
76962,35.16,53,1545,decoy2
77056,35.16,53,1545,decoy2
77166,25.31,54,1545,decoy2
77274,23.79,54,1545,decoy2
77399,23.7,54,1545,decoy2
77517,23.81,54,1545,decoy2
77600,32.91,54,1545,decoy2
77712,23.75,54,1545,decoy2
77801,23.74,54,1545,decoy2
77931,25.88,54,1545,decoy2
78038,34.03,54,1545,decoy2
78145,36.83,54,1545,decoy2
78239,31.42,54,1545,decoy2
78363,23.71,54,1545,decoy2
78459,23.71,54,1545,decoy2
78582,29.46,54,1545,decoy2
78679,27.56,54,1545,decoy2
78802,23.58,54,1095,decoy2
78911,20.82,54,1095,decoy2
79021,20.75,54,1005,decoy2
79130,26.5,54,1005,decoy2
79220,19.43,54,960,decoy2
79350,19.31,53,960,decoy2
79456,18.96,53,870,decoy2
79585,15.15,53,1170,decoy2
79694,28.59,53,1170,decoy2
79789,28.34,53,1170,decoy2
79887,29.42,54,1170,decoy2
79951,29.42,54,1170,decoy2
80079,22.65,54,1305,decoy2
80171,21.98,54,1305,decoy2
80302,21.98,54,1305,decoy2
80435,21.96,54,1305,decoy2
80533,25.89,54,1305,decoy2
80609,25.97,54,1305,decoy2
80702,21.94,54,1305,decoy2
80812,22.05,54,1305,decoy2
80955,27.14,54,1305,decoy2
81031,31.84,54,1305,decoy2
81136,33.04,54,1305,decoy2
81244,33.16,54,1545,decoy2
81343,33.74,54,1545,decoy2
81448,35.83,55,1545,decoy2
81595,35.35,55,1545,decoy2
81664,35.35,55,1545,decoy2
81774,37.02,55,1545,decoy2
81901,23.8,55,1545,decoy2
81990,23.77,55,1545,decoy2
82119,25.16,55,1545,decoy2
82209,31.83,55,1545,decoy2
82320,23.81,55,1545,decoy2
82448,23.76,54,1545,decoy2
82553,23.77,54,1545,decoy2
82663,24.66,54,1545,decoy2
82759,31.32,54,1545,decoy2
82880,23.78,54,1545,decoy2
82982,23.78,54,765,decoy2
83100,22.08,54,765,decoy2
83213,23.73,54,750,decoy2
83323,19.23,54,750,decoy2
83435,19.23,54,690,decoy2
83541,20.13,54,690,decoy2
83651,27.45,54,690,decoy2
